Date,Production,Import,Export,Storage,Consumption,Base Gas,Price,Future1,Future2,Future3,Future4
Jan-2001,2096948,373077,25547,5609446,2676998,4343950,8.17,7.825,7.374,6.027,5.629
Feb-2001,1910051,328289,26882,5240820,2309464,4328455,5.61,5.675,5.556,5.441,5.436
Mar-2001,2116381,358103,32121,5041971,2246633,4300420,5.23,5.189,5.245,5.287,5.327
Apr-2001,2028145,318573,23637,5252851,1807170,4260588,5.19,5.189,5.239,5.294,5.332
May-2001,2070749,321878,28981,5749464,1522382,4309369,4.19,4.244,4.315,4.384,4.413
Jun-2001,1993266,317414,24554,6192512,1444378,4310080,3.72,3.782,3.867,3.918,3.989
Jul-2001,2041970,364571,31219,6576075,1598071,4315312,3.11,3.167,3.223,3.309,3.58
Aug-2001,2056737,353338,28965,6888848,1669178,4313050,2.97,2.935,2.982,3.219,3.487
Sep-2001,2009185,314864,33517,7261934,1494128,4317667,2.19,2.213,2.558,2.891,3.039
Oct-2001,2097034,326114,34452,7453778,1649073,4309807,2.46,2.618,2.898,3.065,3.057
Nov-2001,2006035,291044,41840,7554750,1700950,4300650,2.34,2.786,2.981,3.022,2.997
Dec-2001,2074278,309673,41564,7204251,2120198,4300737,2.3,2.686,2.748,2.75,2.73
Jan-2002,2057728,343481,34491,6657016,2487638,4313154,2.32,2.19,2.204,2.252,2.327
Feb-2002,1858737,305917,30383,6193791,2242427,4355926,2.32,2.263,2.319,2.387,2.453
Mar-2002,2061811,332596,38141,5872829,2258431,4355035,3.03,3.015,3.043,3.083,3.123
Apr-2002,1978245,315116,39194,6013613,1880985,4355071,3.43,3.41,3.441,3.476,3.506
May-2002,2027979,319404,39459,6329453,1611453,4361328,3.5,3.563,3.628,3.671,3.688
Jun-2002,1969276,318002,44939,6663387,1591373,4355213,3.26,3.259,3.317,3.343,3.402
Jul-2002,2036905,344641,45032,6896201,1748435,4357567,2.99,2.942,2.958,3.019,3.353
Aug-2002,2018574,356013,46511,7130055,1725712,4356676,3.09,3.092,3.168,3.461,3.719
Sep-2002,1922715,335594,46563,7384108,1542170,4342469,3.55,3.569,3.866,4.094,4.181
Oct-2002,1976488,343427,42109,7457920,1645873,4342017,4.13,4.088,4.276,4.348,4.233
Nov-2002,1979436,330544,54589,7272705,1913629,4344078,4.04,4.04,4.138,4.078,3.99
Dec-2002,2053385,370729,54821,6715467,2378895,4340234,4.74,4.838,4.811,4.64,4.355
Jan-2003,2056766,359168,58449,5865966,2700545,4343648,5.43,5.381,5.294,5.01,4.853
Feb-2003,1880691,308804,56393,5187077,2500315,4336577,7.71,6.657,5.963,5.587,5.416
Mar-2003,2104114,324364,51851,5055702,2197936,4325647,5.93,5.786,5.541,5.441,5.398
Apr-2003,2007565,314655,48831,5210476,1743530,4317155,5.26,5.358,5.43,5.465,5.466
May-2003,2016922,325157,48519,5621675,1514697,4324112,5.81,5.926,6.008,6.042,6.016
Jun-2003,1970130,306878,51924,6090298,1368369,4325116,5.82,5.925,6.005,6.021,6.057
Jul-2003,1991705,340532,48707,6450716,1600484,4324829,5.03,5.034,5.047,5.097,5.311
Aug-2003,2033633,331628,50962,6762507,1651580,4326761,4.99,4.978,5.035,5.256,5.479
Sep-2003,1976511,320676,53337,7173311,1428554,4328035,4.62,4.667,4.898,5.155,5.319
Oct-2003,2057161,331005,62314,7456712,1553189,4326501,4.63,4.986,5.307,5.481,5.428
Nov-2003,1977961,316721,71867,7341444,1753642,4303488,4.47,4.834,5.017,5.001,4.849
Dec-2003,2045819,364161,76769,6865772,2263659,4303153,6.13,6.469,6.434,5.998,5.148
Jan-2004,2062805,373195,67024,6051839,2675834,4300796,6.14,6.272,6.202,5.51,5.336
Feb-2004,1920843,345930,69805,5452307,2511097,4296549,5.37,5.363,5.278,5.241,5.25
Mar-2004,2076537,348992,90982,5341885,2100921,4283474,5.39,5.542,5.629,5.674,5.71
Apr-2004,1995315,325105,61916,5535291,1745171,4282836,5.71,5.765,5.844,5.907,5.935
May-2004,2001333,326541,60968,5910982,1573043,4287223,6.33,6.398,6.472,6.5,6.474
Jun-2004,1965797,341934,64227,6307379,1483684,4284444,6.27,6.334,6.388,6.4,6.452
Jul-2004,2019157,374651,67031,6681153,1584933,4286584,5.93,6.064,6.105,6.205,6.486
Aug-2004,2016570,360244,67491,7004573,1577962,4261959,5.41,5.471,5.643,6.229,6.659
Sep-2004,1909243,344621,74439,7310455,1482150,4253905,5.15,5.219,5.949,6.594,6.901
Oct-2004,2009174,335533,61174,7548214,1557224,4245979,6.35,7.371,8.393,8.819,8.748
Nov-2004,1969226,368685,86431,7479367,1782796,4234821,6.17,7.608,8.213,8.246,7.903
Dec-2004,2023680,413128,82649,6897200,2327730,4201124,6.58,6.828,6.923,6.855,6.42
Jan-2005,2035036,405016,91395,6199291,2561858,4205348,6.15,6.186,6.231,6.159,6.178
Feb-2005,1870546,356495,89576,5768939,2242986,4204477,6.14,6.203,6.274,6.342,6.401
Mar-2005,2080504,379650,96220,5484332,2205787,4199962,6.96,7.045,7.158,7.245,7.316
Apr-2005,1979474,326147,55538,5699060,1724877,4200417,7.16,7.15,7.248,7.342,7.401
May-2005,2010625,333997,58944,6075521,1522613,4200370,6.47,6.486,6.564,6.631,6.676
Jun-2005,1972975,321710,54807,6398738,1534122,4201247,7.18,7.206,7.272,7.308,7.41
Jul-2005,1984143,386093,55048,6653209,1686609,4203040,7.63,7.579,7.622,7.727,8.27
Aug-2005,1988105,351805,51987,6865103,1695102,4202842,9.53,9.427,9.486,9.884,10.266
Sep-2005,1766603,345907,43824,7136424,1422495,4204726,11.75,12.111,12.59,13.024,13.256
Oct-2005,1871190,366305,41025,7400321,1428227,4206218,13.42,13.454,13.827,14.178,14.01
Nov-2005,1901758,359387,44964,7398295,1663400,4209135,10.3,11.695,12.252,12.267,11.881
Dec-2005,1995862,408522,45272,6835374,2326360,4200014,13.05,13.425,13.52,13.353,10.906
Jan-2006,1975168,360316,55600,6573119,2165268,4202072,8.69,9.136,9.276,9.203,9.256
Feb-2006,1794241,321045,58766,6088735,2144378,4202495,7.54,7.52,7.692,7.84,7.971
Mar-2006,1994464,348293,69434,5888675,2126369,4196938,6.89,6.979,7.16,7.335,7.503
Apr-2006,1908987,332248,45181,6143320,1681005,4198044,7.16,7.264,7.494,7.722,7.923
May-2006,1956520,350535,62557,6511653,1526297,4201709,6.25,6.372,6.635,6.894,7.248
Jun-2006,1938796,348095,65708,6831985,1550879,4215338,6.21,6.385,6.624,6.918,7.396
Jul-2006,1975235,370925,58874,6993053,1758733,4213841,6.17,6.222,6.407,6.834,8.258
Aug-2006,1989430,364972,54739,7181966,1751683,4212743,7.14,6.989,7.333,9.114,10.51
Sep-2006,1946109,333514,52583,7538548,1462070,4215370,4.9,5.218,6.788,8.333,8.887
Oct-2006,2025782,334016,58904,7669209,1644231,4216968,5.85,6.633,7.805,8.251,8.282
Nov-2006,1974331,339118,69688,7622511,1765375,4215859,7.41,7.995,8.404,8.435,8.272
Dec-2006,2055955,383205,71923,7280906,2122784,4210950,6.73,7.161,7.295,7.324,7.273
Jan-2007,2042882,393140,69221,6599227,2475594,4216333,6.55,6.775,6.838,6.9,6.978
Feb-2007,1878003,372874,56539,5867298,2566993,4215728,8,7.546,7.597,7.672,7.755
Mar-2007,2094555,401779,77036,5849891,2128845,4246889,7.11,7.221,7.347,7.48,7.613
Apr-2007,1994942,386837,50736,5968611,1810079,4245870,7.6,7.629,7.762,7.916,8.02
May-2007,2066642,380213,62477,6431710,1559080,4250470,7.64,7.821,7.977,8.094,8.162
Jun-2007,2019862,381470,57309,6813786,1555226,4231002,7.35,7.503,7.636,7.725,7.926
Jul-2007,2053286,418576,70660,7123259,1659882,4227004,6.22,6.399,6.514,6.763,7.616
Aug-2007,2076235,426534,61870,7250170,1896137,4229371,6.22,6.137,6.399,7.284,8.069
Sep-2007,2040241,361383,65077,7548786,1590484,4233352,6.08,6.188,7.002,7.718,8.046
Oct-2007,2122193,347224,63576,7803634,1627791,4238254,6.74,7.223,7.875,8.201,8.212
Nov-2007,2098602,340607,86458,7680213,1834529,4238181,7.1,7.778,8.104,8.147,7.992
Dec-2007,2176213,396945,101495,7113475,2399154,4234216,7.11,7.178,7.275,7.286,7.282
Jan-2008,2155041,389651,109302,6288037,2733970,4232156,7.99,7.991,7.962,7.943,7.986
Feb-2008,2043801,349660,99374,5686255,2503421,4221565,8.54,8.642,8.675,8.713,8.776
Mar-2008,2204088,366810,100351,5486589,2278151,4220523,9.41,9.624,9.7,9.775,9.86
Apr-2008,2112605,322122,74343,5658650,1823867,4222248,10.18,10.288,10.394,10.501,10.558
May-2008,2153316,297154,68981,6064975,1576387,4225431,11.27,11.381,11.511,11.588,11.617
Jun-2008,2118791,286919,61702,6407107,1604249,4229559,12.69,12.784,12.88,12.913,12.999
Jul-2008,2205260,322810,63345,6745390,1708641,4228367,11.09,11.067,11.134,11.26,11.586
Aug-2008,2193566,328663,67157,7093832,1682924,4227668,8.26,8.301,8.435,8.815,9.196
Sep-2008,1919520,313868,55330,7390883,1460924,4229964,7.67,7.485,7.8,8.17,8.381
Oct-2008,2153389,321328,66843,7634355,1635827,4234974,6.74,6.727,7.009,7.261,7.302
Nov-2008,2149851,320254,90432,7577456,1868947,4231545,6.68,6.7,6.824,6.864,6.835
Dec-2008,2227028,364862,106101,7072657,2399702,4232293,5.82,5.794,5.821,5.844,5.892
Jan-2009,2251938,356749,112989,6370028,2729715,4236795,5.24,5.07,5.065,5.127,5.206
Feb-2009,2074167,321522,103196,6000888,2332539,4242866,4.52,4.382,4.412,4.501,4.631
Mar-2009,2262488,325165,103699,5907540,2170709,4247894,3.96,4.002,4.093,4.211,4.344
Apr-2009,2147856,321848,80016,6165074,1741293,4255159,3.5,3.561,3.69,3.84,3.954
May-2009,2190437,265793,77072,6632164,1504000,4257355,3.83,3.934,4.054,4.168,4.258
Jun-2009,2140519,281970,66259,7028031,1527833,4267898,3.8,3.935,4.102,4.25,4.499
Jul-2009,2170032,316715,76273,7353504,1657997,4263199,3.38,3.551,3.705,3.975,4.653
Aug-2009,2192597,336848,78755,7626392,1736462,4267274,3.14,3.305,3.709,4.57,5.295
Sep-2009,2089220,307026,83786,7921596,1574975,4275618,2.99,3.462,4.443,5.123,5.375
Oct-2009,2197157,273124,78092,8091168,1666520,4281301,4.01,4.78,5.54,5.83,5.878
Nov-2009,2144157,294918,96892,8124989,1776171,4287564,3.66,4.628,4.948,5.018,5.039
Dec-2009,2196325,349682,115328,7406742,2491864,4276666,5.35,5.344,5.396,5.402,5.409
Jan-2010,2210163,384586,93570,6579900,2809788,4276043,5.83,5.599,5.561,5.532,5.579
Feb-2010,2047815,324124,87820,5960953,2480950,4277619,5.32,5.215,5.211,5.272,5.344
Mar-2010,2276546,318769,99574,5929914,2142925,4277501,4.29,4.301,4.371,4.447,4.536
Apr-2010,2190270,298464,75938,6289473,1691813,4278372,4.03,4.088,4.181,4.3,4.393
May-2010,2236507,297801,85725,6698983,1617274,4279323,4.14,4.155,4.245,4.323,4.39
Jun-2010,2138770,282260,90040,7026700,1649515,4286643,4.8,4.785,4.832,4.876,4.969
Jul-2010,2208753,328655,85851,7253018,1825828,4287238,4.63,4.59,4.592,4.659,4.914
Aug-2010,2235038,304901,84164,7442861,1878926,4290100,4.32,4.22,4.268,4.495,4.753
Sep-2010,2238147,281518,79475,7801450,1637491,4293804,3.89,3.898,4.099,4.35,4.508
Oct-2010,2356947,294744,95974,8155699,1664938,4305058,3.43,3.6,3.958,4.176,4.203
Nov-2010,2276710,273165,123537,8078136,1973294,4309231,3.71,4.042,4.208,4.211,4.179
Dec-2010,2400418,351773,135121,7412447,2714054,4301362,4.25,4.283,4.303,4.291,4.275
Jan-2011,2299298,371919,135721,6608635,2888640,4302792,4.49,4.499,4.497,4.492,4.529
Feb-2011,2104330,311154,125014,6024215,2452403,4302341,4.09,4.036,4.079,4.142,4.203
Mar-2011,2410884,315408,144360,5879115,2230493,4302108,3.97,4.069,4.139,4.207,4.277
Apr-2011,2349720,277936,126374,6092050,1825023,4303570,4.24,4.272,4.333,4.406,4.449
May-2011,2410866,271252,131797,6491219,1667396,4304364,4.31,4.336,4.394,4.436,4.461
