Month,Globex,Open OutCry,Clear Port,Total Volume,Block Trades,EFP,EFR,EFS,TAS,Deliveries,At Close,Change
DEC 14,0,0,0,0,0,0,0,0,0,0,2,0
JAN 15,92422.00,13,2151.00,94586.00,2151.00,0,0,0,8240.00,0,258349.00,-2470.00
FEB 15,24472.00,13,0,24485.00,0,0,0,0,5664.00,0,84208.00,-562
MAR 15,24830.00,0,0,24830.00,0,0,0,0,2286.00,0,130524.00,770
APR 15,22146.00,0,650,22796.00,650,0,0,0,1022.00,0,115071.00,2331.00
MAY 15,10299.00,0,500,10799.00,500,0,0,0,0,0,65929.00,-1737.00
JUN 15,2496.00,0,0,2496.00,0,0,0,0,0,0,30075.00,-8
JUL 15,1970.00,0,0,1970.00,0,0,0,0,0,0,26537.00,-73
AUG 15,1434.00,0,0,1434.00,0,0,0,0,0,0,27258.00,55
SEP 15,1538.00,0,0,1538.00,0,0,0,0,0,0,17971.00,26
OCT 15,3560.00,0,0,3560.00,0,0,0,0,0,0,47141.00,-261
NOV 15,1260.00,0,0,1260.00,0,0,0,0,0,0,24437.00,35
DEC 15,926,0,0,926,0,0,0,0,0,0,23977.00,-3
JAN 16,1312.00,0,0,1312.00,0,0,0,0,0,0,21522.00,207
FEB 16,95,0,0,95,0,0,0,0,0,0,5403.00,23
MAR 16,425,0,0,425,0,0,0,0,0,0,11251.00,163
APR 16,154,0,0,154,0,0,0,0,0,0,10377.00,74
MAY 16,0,0,0,0,0,0,0,0,0,0,3638.00,0
JUN 16,0,0,0,0,0,0,0,0,0,0,4108.00,0
JUL 16,4,0,0,4,0,0,0,0,0,0,2846.00,0
AUG 16,0,0,0,0,0,0,0,0,0,0,2889.00,0
SEP 16,0,0,0,0,0,0,0,0,0,0,2742.00,0
OCT 16,17,0,0,17,0,0,0,0,0,0,3867.00,1
NOV 16,29,0,0,29,0,0,0,0,0,0,2646.00,0
DEC 16,18,0,0,18,0,0,0,0,0,0,4974.00,-2
JAN 17,0,0,0,0,0,0,0,0,0,0,1724.00,0
FEB 17,0,0,0,0,0,0,0,0,0,0,1096.00,0
MAR 17,0,0,0,0,0,0,0,0,0,0,1951.00,0
APR 17,0,0,0,0,0,0,0,0,0,0,2565.00,0
MAY 17,0,0,0,0,0,0,0,0,0,0,906,0
JUN 17,0,0,0,0,0,0,0,0,0,0,1291.00,0
JUL 17,0,0,0,0,0,0,0,0,0,0,893,0
AUG 17,0,0,0,0,0,0,0,0,0,0,1044.00,0
SEP 17,0,0,0,0,0,0,0,0,0,0,1186.00,0
OCT 17,0,0,0,0,0,0,0,0,0,0,822,0
NOV 17,0,0,0,0,0,0,0,0,0,0,674,0
DEC 17,0,0,0,0,0,0,0,0,0,0,1913.00,0
JAN 18,0,0,0,0,0,0,0,0,0,0,784,0
FEB 18,0,0,0,0,0,0,0,0,0,0,422,0
MAR 18,0,0,0,0,0,0,0,0,0,0,284,0
APR 18,0,0,0,0,0,0,0,0,0,0,416,0
MAY 18,0,0,0,0,0,0,0,0,0,0,293,0
JUN 18,0,0,0,0,0,0,0,0,0,0,366,0
JUL 18,0,0,0,0,0,0,0,0,0,0,285,0
AUG 18,0,0,0,0,0,0,0,0,0,0,247,0
SEP 18,0,0,0,0,0,0,0,0,0,0,242,0
OCT 18,0,0,0,0,0,0,0,0,0,0,528,0
NOV 18,0,0,0,0,0,0,0,0,0,0,204,0
DEC 18,0,0,0,0,0,0,0,0,0,0,989,0
JAN 19,0,0,0,0,0,0,0,0,0,0,533,0
FEB 19,0,0,0,0,0,0,0,0,0,0,255,0
MAR 19,0,0,0,0,0,0,0,0,0,0,354,0
APR 19,0,0,0,0,0,0,0,0,0,0,348,0
MAY 19,0,0,0,0,0,0,0,0,0,0,271,0
JUN 19,0,0,0,0,0,0,0,0,0,0,256,0
JUL 19,0,0,0,0,0,0,0,0,0,0,255,0
AUG 19,0,0,0,0,0,0,0,0,0,0,255,0
SEP 19,0,0,0,0,0,0,0,0,0,0,254,0
OCT 19,0,0,0,0,0,0,0,0,0,0,366,0
NOV 19,0,0,0,0,0,0,0,0,0,0,288,0
DEC 19,0,0,0,0,0,0,0,0,0,0,255,0
JAN 20,0,0,0,0,0,0,0,0,0,0,83,0
FEB 20,0,0,0,0,0,0,0,0,0,0,5,0
MAR 20,0,0,0,0,0,0,0,0,0,0,2,0
APR 20,0,0,0,0,0,0,0,0,0,0,72,0
MAY 20,0,0,0,0,0,0,0,0,0,0,23,0
JUN 20,0,0,0,0,0,0,0,0,0,0,17,0
JUL 20,0,0,0,0,0,0,0,0,0,0,57,0
AUG 20,0,0,0,0,0,0,0,0,0,0,11,0
SEP 20,0,0,0,0,0,0,0,0,0,0,12,0
OCT 20,0,0,0,0,0,0,0,0,0,0,3,0
NOV 20,0,0,0,0,0,0,0,0,0,0,2,0
DEC 20,0,0,0,0,0,0,0,0,0,0,226,0
JAN 21,0,0,0,0,0,0,0,0,0,0,30,0
FEB 21,0,0,0,0,0,0,0,0,0,0,30,0
MAR 21,0,0,0,0,0,0,0,0,0,0,30,0
APR 21,0,0,0,0,0,0,0,0,0,0,30,0
MAY 21,0,0,0,0,0,0,0,0,0,0,31,0
JUN 21,0,0,0,0,0,0,0,0,0,0,30,0
JUL 21,0,0,0,0,0,0,0,0,0,0,30,0
AUG 21,0,0,0,0,0,0,0,0,0,0,30,0
SEP 21,0,0,0,0,0,0,0,0,0,0,30,0
OCT 21,0,0,0,0,0,0,0,0,0,0,30,0
NOV 21,0,0,0,0,0,0,0,0,0,0,30,0
DEC 21,0,0,0,0,0,0,0,0,0,0,30,0
FEB 22,0,0,0,0,0,0,0,0,0,0,1,0
MAR 22,0,0,0,0,0,0,0,0,0,0,1,0
MAY 22,0,0,0,0,0,0,0,0,0,0,1,0
JUL 22,0,0,0,0,0,0,0,0,0,0,1,0
AUG 22,0,0,0,0,0,0,0,0,0,0,1,0
MAR 23,0,0,0,0,0,0,0,0,0,0,1,0
MAY 23,0,0,0,0,0,0,0,0,0,0,1,0
TOTALS,189407.00,26,3301.00,192734.00,3301.00,0,0,0,17212.00,0,953438.00,-1431.00
